# ./FR-trace starting at Fri Nov  2 19:18:16 2018
################# CONFIG #################
# slot=24000
# samples=10000
# threshold=100
# idle=500
# pdathreads=0
# nmonitored=3
#   monitor0=./num ybn_sqr 0x2b7d
#   monitor1=./num ybn_mul 0x22ea
#   monitor2=./num ybn_modexp 0x2d9f
# nevicted=0
# npdatargets=0
############## SYSTEM INFO ###############
# mastik_version=0.02
# sysname=Linux
# nodename=ArchLinux
# release=4.18.16-arch1-1-ARCH
# version=#1 SMP PREEMPT Sat Oct 20 22:06:45 UTC 2018
# machine=x86_64
################## DATA ##################
80 208 190 
205 178 187 
630 178 190 
226 178 187 
223 178 190 
226 167 176 
223 167 176 
226 178 187 
211 321 202 
208 187 182 
442 167 187 
226 178 187 
223 178 190 
234 181 187 
196 181 187 
208 315 366 
229 178 190 
229 731 187 
237 181 187 
226 167 176 
226 178 187 
199 167 187 
234 181 187 
223 170 187 
229 181 187 
229 178 190 
514 699 193 
223 167 187 
226 170 176 
746 181 187 
226 178 190 
234 167 187 
226 167 193 
226 181 187 
226 178 190 
237 181 187 
223 170 187 
229 181 187 
229 178 190 
223 178 187 
80 74 83 
226 77 214 
226 181 190 
66 77 83 
237 181 80 
223 167 69 
229 178 83 
226 178 83 
229 178 80 
223 170 72 
229 178 83 
226 181 80 
223 181 83 
226 173 72 
223 167 83 
226 181 83 
229 181 80 
237 181 80 
226 167 69 
710 167 80 
226 77 80 
77 77 83 
226 170 69 
226 181 80 
226 178 83 
226 178 80 
223 170 72 
229 164 69 
226 178 80 
234 178 83 
214 342 83 
226 170 72 
226 178 86 
226 178 83 
226 178 83 
226 167 69 
223 178 80 
413 244 69 
223 77 83 
77 77 217 
223 181 190 
69 66 72 
226 178 83 
223 170 72 
229 170 69 
226 178 80 
226 178 83 
237 178 80 
226 167 72 
630 181 80 
229 178 83 
226 178 80 
1025 303 69 
226 181 80 
226 178 80 
234 178 83 
234 167 72 
223 170 72 
226 74 80 
69 74 83 
276 181 80 
223 170 72 
229 178 83 
737 178 83 
226 178 86 
234 167 69 
226 181 80 
226 178 80 
234 178 83 
237 178 80 
223 181 83 
229 181 83 
226 178 83 
237 181 83 
226 167 69 
473 66 72 
226 178 190 
237 181 187 
237 181 187 
440 523 425 
226 178 187 
226 178 187 
460 639 187 
223 167 176 
66 66 72 
226 178 83 
226 178 83 
223 167 69 
226 178 80 
226 77 83 
356 181 83 
226 167 69 
226 181 80 
226 178 80 
237 181 83 
647 327 83 
226 181 83 
226 181 83 
868 181 80 
226 178 80 
223 170 69 
223 77 80 
226 178 190 
226 77 214 
226 170 176 
226 167 176 
226 178 190 
226 178 187 
234 181 187 
514 181 187 
223 181 187 
333 178 321 
237 181 187 
223 170 187 
226 181 187 
229 178 190 
226 181 187 
226 170 179 
229 164 179 
226 178 187 
226 181 190 
237 181 187 
226 167 176 
226 178 187 
722 167 256 
226 178 190 
226 167 176 
226 178 187 
817 167 187 
226 178 187 
226 170 176 
229 164 179 
226 178 187 
532 181 190 
223 167 176 
223 167 176 
226 178 187 
223 178 193 
234 181 187 
469 167 187 
226 178 190 
226 181 187 
237 181 190 
226 173 179 
362 303 291 
223 181 187 
237 181 187 
234 167 187 
223 170 179 
226 178 856 
223 181 187 
237 181 187 
223 167 176 
226 178 187 
226 178 187 
226 178 193 
223 170 176 
229 164 179 
746 181 187 
226 178 187 
395 170 176 
80 77 83 
226 181 80 
226 178 83 
234 170 80 
223 170 72 
226 181 83 
226 181 80 
223 181 83 
401 181 80 
226 181 80 
226 178 80 
234 178 83 
234 167 83 
226 170 83 
226 178 80 
226 178 83 
779 445 80 
223 66 83 
229 181 187 
226 178 190 
226 178 187 
226 167 179 
223 170 176 
226 178 190 
223 178 187 
234 181 187 
324 383 246 
710 167 187 
223 178 193 
234 181 187 
223 170 187 
856 621 277 
226 178 190 
882 178 190 
237 181 187 
223 170 176 
226 178 190 
223 178 187 
329 167 187 
223 170 179 
226 178 1156 
223 181 187 
237 181 187 
223 170 187 
229 181 187 
226 178 190 
223 178 187 
226 170 176 
229 470 624 
226 181 187 
226 178 190 
237 167 187 
226 170 176 
229 178 190 
226 178 193 
235 205 481 
226 167 193 
630 181 187 
226 178 190 
234 181 187 
234 167 187 
226 181 187 
226 178 187 
229 181 187 
231 1037 386 
223 167 176 
226 178 187 
226 178 190 
270 181 187 
954 1043 618 
226 181 190 
226 178 190 
223 178 187 
226 170 176 
229 164 179 
226 178 187 
69 66 72 
237 181 80 
226 170 83 
226 181 80 
226 181 83 
226 178 80 
226 167 72 
229 181 80 
226 178 83 
205 167 80 
1126 894 83 
567 167 80 
229 178 80 
226 178 80 
237 178 83 
229 170 69 
223 178 80 
237 77 83 
237 178 187 
226 170 176 
226 178 187 
226 178 190 
205 167 187 
223 170 176 
229 164 179 
226 178 187 
229 181 187 
240 181 187 
226 167 176 
226 178 187 
871 181 187 
226 178 190 
226 167 176 
226 178 187 
226 178 190 
223 178 187 
226 170 176 
986 253 446 
226 178 190 
229 181 187 
240 181 187 
514 181 187 
223 181 187 
226 181 187 
1138 297 461 
223 170 187 
229 181 187 
229 178 190 
889 347 1004 
237 167 187 
226 181 187 
226 178 187 
229 181 187 
240 181 187 
226 167 176 
226 178 187 
223 178 193 
202 241 187 
