# ./FR-trace starting at Fri Nov  2 20:03:45 2018
################# CONFIG #################
# slot=5400
# samples=10000
# threshold=100
# idle=500
# pdathreads=0
# nmonitored=3
#   monitor0=./num ybn_mul 0x2193
#   monitor1=./num ybn_sqr 0x2a26
#   monitor2=./num ybn_modexp 0x2c48
# nevicted=0
# npdatargets=0
############## SYSTEM INFO ###############
# mastik_version=0.02
# sysname=Linux
# nodename=ArchLinux
# release=4.18.16-arch1-1-ARCH
# version=#1 SMP PREEMPT Sat Oct 20 22:06:45 UTC 2018
# machine=x86_64
################## DATA ##################
211 906 77 
175 175 205 
164 199 205 
205 297 184 
164 208 164 
164 205 205 
178 178 181 
193 178 178 
178 205 205 
178 178 178 
178 202 205 
175 796 167 
178 164 205 
205 205 205 
193 167 202 
202 202 178 
743 146 137 
202 202 178 
259 202 205 
387 366 211 
202 202 345 
217 178 175 
211 205 214 
181 214 214 
178 178 211 
178 193 214 
202 208 214 
208 205 838 
205 205 205 
205 612 752 
202 205 205 
259 205 205 
202 202 205 
202 205 202 
205 191 205 
202 202 202 
205 202 202 
202 205 205 
205 202 205 
202 205 205 
205 205 205 
202 205 202 
428 178 202 
202 202 205 
202 725 639 
202 202 205 
383 202 205 
202 205 205 
205 202 202 
202 205 205 
205 202 205 
202 205 205 
205 205 205 
202 205 202 
202 205 205 
202 202 205 
202 202 202 
202 202 205 
202 205 202 
205 835 526 
205 199 202 
499 205 205 
205 205 194 
205 202 205 
339 1094 618 
547 205 205 
205 205 202 
205 205 205 
202 202 202 
202 202 205 
202 205 202 
205 191 205 
202 202 202 
205 202 202 
202 202 205 
205 199 202 
627 205 205 
386 205 948 
205 205 205 
202 205 205 
205 205 205 
202 205 202 
202 202 205 
202 205 202 
205 191 205 
202 202 202 
202 205 205 
205 202 202 
202 205 722 
184 205 205 
205 345 262 
0 0 0 
0 0 0 
0 0 0 
184 178 187 
167 178 181 
223 178 170 
173 202 176 
193 170 167 
170 642 211 
173 170 167 
205 208 211 
205 202 202 
205 205 205 
205 205 202 
202 202 202 
877 202 202 
205 202 202 
193 202 202 
191 202 202 
205 191 202 
205 315 181 
258 178 202 
202 202 202 
205 199 202 
202 205 202 
205 202 202 
205 205 202 
202 202 202 
205 205 205 
202 202 202 
202 663 704 
202 205 202 
315 202 202 
202 205 202 
205 191 202 
202 205 191 
205 202 202 
205 202 202 
205 205 202 
205 205 205 
202 205 202 
205 205 205 
202 202 202 
164 1019 511 
205 202 202 
202 776 591 
202 205 191 
442 202 202 
205 202 202 
202 205 202 
205 202 202 
205 205 202 
205 202 202 
205 205 205 
202 205 202 
202 202 202 
202 205 202 
202 202 202 
202 202 202 
205 202 202 
202 906 472 
205 202 202 
579 202 202 
205 202 202 
202 205 202 
805 574 1727 
238 184 178 
205 202 202 
202 202 202 
202 202 202 
202 205 202 
202 202 202 
208 202 202 
205 191 202 
202 205 191 
205 202 202 
205 205 205 
698 202 202 
202 205 205 
202 202 202 
205 205 205 
202 202 202 
202 202 202 
202 205 202 
202 202 202 
202 202 202 
202 202 202 
205 202 202 
202 205 202 
238 246 639 
205 202 202 
202 205 202 
799 202 202 
202 205 205 
202 205 202 
202 202 202 
202 205 202 
202 202 202 
202 202 202 
202 202 202 
205 202 202 
202 202 205 
871 684 69 
178 80 77 
74 202 202 
74 202 143 
66 66 199 
202 77 202 
205 202 202 
262 202 202 
202 205 202 
205 191 202 
202 855 398 
178 205 202 
205 205 202 
80 77 175 
208 175 202 
202 202 205 
202 205 131 
69 66 63 
202 205 74 
205 202 77 
191 722 63 
191 202 63 
392 202 77 
202 202 66 
202 199 77 
205 202 77 
205 202 74 
205 205 77 
202 202 77 
202 205 74 
205 202 77 
191 202 77 
238 175 77 
202 205 63 
395 867 74 
202 829 63 
205 199 77 
517 202 77 
205 205 77 
205 202 77 
202 205 74 
205 205 77 
389 372 66 
202 202 77 
202 202 74 
202 202 74 
205 205 77 
202 202 77 
202 202 66 
202 199 77 
205 202 77 
205 202 74 
630 202 77 
205 205 77 
202 205 74 
205 205 77 
202 205 77 
202 202 74 
562 279 74 
205 205 74 
205 191 66 
202 202 63 
205 205 66 
205 205 66 
205 199 77 
205 202 77 
351 606 74 
743 202 77 
205 202 74 
205 205 77 
202 202 77 
202 202 74 
202 205 63 
205 202 66 
205 191 66 
202 202 63 
205 205 66 
205 202 77 
205 202 77 
205 205 77 
202 205 77 
202 511 74 
205 205 77 
202 202 74 
202 202 77 
202 202 74 
202 205 63 
205 202 66 
205 191 66 
202 202 63 
205 205 66 
205 202 77 
202 205 77 
202 205 77 
202 202 74 
205 205 74 
69 199 66 
191 666 701 
280 250 175 
77 77 77 
202 205 63 
205 202 66 
205 191 66 
205 202 77 
205 205 77 
205 202 77 
175 202 77 
202 205 77 
202 202 74 
205 205 77 
202 202 77 
202 202 74 
202 776 77 
202 205 66 
460 202 77 
226 286 66 
820 202 77 
202 202 77 
202 205 74 
205 205 77 
202 205 77 
202 202 74 
205 205 74 
205 205 77 
202 202 77 
202 202 74 
202 205 63 
205 877 77 
205 205 66 
318 1453 63 
205 202 77 
205 205 77 
452 547 77 
202 205 77 
202 202 74 
205 205 77 
202 202 77 
202 202 74 
202 205 63 
205 202 66 
205 191 66 
202 202 63 
205 205 66 
205 202 77 
698 202 77 
202 205 74 
205 205 77 
202 205 77 
202 202 74 
205 205 74 
205 205 77 
202 202 77 
202 202 66 
746 1100 77 
205 202 77 
205 202 77 
205 202 74 
205 205 77 
202 202 77 
799 202 77 
202 202 77 
202 202 74 
202 202 74 
205 205 77 
865 181 77 
191 202 77 
205 199 77 
205 202 77 
205 202 74 
205 205 77 
202 202 77 
202 205 74 
205 205 77 
202 205 77 
874 205 66 
202 202 74 
253 202 77 
859 1156 77 
77 202 77 
205 205 191 
77 202 202 
77 77 77 
202 202 205 
205 205 202 
202 205 205 
205 205 202 
202 202 202 
202 202 202 
202 202 202 
182 419 428 
202 202 202 
386 202 202 
74 77 74 
205 202 77 
202 202 77 
205 205 77 
205 205 74 
205 205 77 
583 244 74 
202 202 74 
205 205 77 
202 202 77 
202 202 74 
647 167 66 
202 829 63 
205 199 77 
517 202 77 
205 205 77 
205 202 77 
202 205 74 
205 205 77 
202 205 77 
202 202 77 
202 202 74 
205 205 74 
205 205 77 
202 202 77 
202 202 66 
202 199 77 
205 202 77 
202 205 66 
618 202 77 
205 205 77 
202 205 74 
205 205 77 
547 255 77 
202 202 74 
205 205 77 
202 205 63 
191 202 77 
202 202 66 
523 268 74 
202 205 66 
205 199 77 
205 202 77 
205 205 77 
752 202 77 
202 205 77 
202 202 74 
205 205 77 
202 202 77 
