# ./FR-trace starting at Fri Nov  2 22:20:56 2018
################# CONFIG #################
# slot=6000
# samples=15000
# threshold=100
# idle=500
# pdathreads=0
# nmonitored=3
#   monitor0=./num ybn_mul 0x2193
#   monitor1=./num wait 0x1219
#   monitor2=./num ybn_modexp 0x2c52
# nevicted=0
# npdatargets=0
############## SYSTEM INFO ###############
# mastik_version=0.02
# sysname=Linux
# nodename=ArchLinux
# release=4.18.16-arch1-1-ARCH
# version=#1 SMP PREEMPT Sat Oct 20 22:06:45 UTC 2018
# machine=x86_64
################## DATA ##################
211 30 214 
173 211 211 
167 208 199 
362 517 731 
877 253 264 
173 217 187 
190 214 176 
211 187 187 
190 208 196 
184 211 190 
217 214 211 
217 211 187 
187 179 217 
425 279 651 
184 205 1126 
214 214 205 
211 211 211 
208 181 211 
208 220 243 
152 173 179 
184 184 211 
137 41 211 
214 30 211 
217 56 223 
0 0 0 
0 0 0 
0 0 0 
190 187 208 
193 30 187 
0 0 0 
0 0 0 
214 27 214 
214 27 214 
746 24 211 
220 41 208 
228 30 217 
214 27 214 
208 27 184 
214 27 217 
226 27 211 
214 35 211 
217 27 214 
240 30 214 
211 30 208 
223 38 214 
240 30 205 
211 35 211 
223 35 214 
240 27 208 
933 30 241 
217 38 225 
228 30 214 
220 27 208 
217 27 211 
217 30 208 
573 27 214 
217 38 211 
214 30 208 
234 30 214 
229 38 214 
217 30 208 
217 27 214 
217 27 214 
217 41 214 
217 30 211 
1022 38 324 
217 41 214 
217 27 214 
217 27 211 
214 38 211 
211 41 493 
223 30 220 
217 38 214 
214 38 214 
214 30 214 
220 30 211 
226 38 211 
375 27 205 
214 27 211 
220 38 208 
214 27 208 
564 27 766 
823 30 211 
223 27 214 
217 30 211 
214 38 211 
211 38 211 
211 27 208 
234 27 208 
211 27 214 
217 30 211 
214 27 214 
220 27 229 
232 41 217 
217 30 214 
211 38 225 
375 27 407 
231 30 214 
220 38 211 
229 41 211 
228 30 214 
214 38 211 
232 38 211 
217 30 211 
618 38 214 
220 41 214 
217 30 217 
232 27 211 
217 38 225 
214 30 211 
214 30 208 
220 38 211 
220 38 214 
231 27 208 
273 30 389 
214 41 208 
211 24 211 
211 35 217 
217 27 211 
217 30 211 
217 27 214 
214 38 211 
226 41 208 
220 27 214 
223 38 277 
217 41 214 
454 30 208 
220 38 214 
214 44 173 
214 27 214 
220 27 211 
856 27 211 
217 27 211 
217 30 214 
223 41 214 
214 27 225 
324 30 217 
217 35 225 
220 38 214 
220 30 211 
217 27 211 
214 41 214 
220 27 208 
223 27 214 
217 38 208 
231 27 211 
217 24 211 
214 41 214 
265 41 214 
228 30 208 
764 27 211 
229 38 205 
214 27 208 
665 27 211 
648 41 179 
217 27 211 
217 30 211 
223 41 214 
1067 38 484 
217 30 208 
211 38 187 
217 24 211 
217 27 208 
214 30 220 
214 30 205 
211 27 214 
211 33 214 
229 27 211 
214 30 214 
220 30 211 
220 41 176 
223 30 214 
240 30 214 
214 30 214 
220 38 214 
502 38 211 
214 38 214 
238 38 211 
214 30 799 
193 41 687 
909 30 211 
217 27 208 
226 27 217 
217 38 211 
214 30 214 
229 27 208 
214 41 208 
214 30 211 
353 30 187 
217 30 208 
214 41 208 
217 27 211 
214 30 211 
211 30 211 
217 27 217 
217 30 208 
211 27 211 
306 24 208 
214 30 214 
217 38 208 
223 38 772 
234 30 211 
746 30 208 
214 30 211 
194 21 21 
41 27 27 
27 24 211 
41 211 484 
27 44 211 
214 41 225 
214 38 211 
231 211 214 
214 208 217 
214 300 208 
237 214 211 
217 211 211 
223 211 211 
342 618 184 
217 702 208 
214 35 208 
211 27 208 
214 24 208 
371 30 315 
214 24 208 
570 33 208 
214 38 205 
229 41 205 
211 27 211 
1554 24 841 
211 27 205 
217 30 205 
211 30 205 
211 38 208 
222 27 208 
211 27 205 
217 38 208 
228 30 208 
220 24 205 
208 41 208 
211 27 208 
217 24 205 
211 38 208 
214 38 208 
193 33 256 
211 38 208 
214 44 208 
357 41 194 
214 38 208 
211 41 208 
214 30 208 
273 27 252 
793 27 205 
208 24 208 
214 33 208 
211 38 208 
211 27 208 
208 30 208 
220 33 205 
214 38 208 
225 27 208 
228 27 208 
214 27 208 
217 27 208 
211 27 208 
211 35 208 
770 38 205 
217 24 205 
214 38 208 
217 41 208 
211 24 208 
211 41 208 
214 38 205 
211 30 208 
603 38 208 
211 27 208 
214 27 208 
211 38 205 
