# ./FR-trace starting at Fri Nov  2 19:43:34 2018
################# CONFIG #################
# slot=5400
# samples=10000
# threshold=100
# idle=500
# pdathreads=0
# nmonitored=3
#   monitor0=./num ybn_mul 0x22ea
#   monitor1=./num ybn_sqr 0x2b7d
#   monitor2=./num ybn_modexp 0x2d9f
# nevicted=0
# npdatargets=0
############## SYSTEM INFO ###############
# mastik_version=0.02
# sysname=Linux
# nodename=ArchLinux
# release=4.18.16-arch1-1-ARCH
# version=#1 SMP PREEMPT Sat Oct 20 22:06:45 UTC 2018
# machine=x86_64
################## DATA ##################
178 199 83 
181 169 157 
211 196 187 
217 211 86 
60 232 83 
83 199 193 
77 199 190 
72 199 229 
66 226 190 
235 205 196 
288 229 190 
217 208 205 
187 220 182 
229 255 190 
181 205 202 
190 208 193 
77 229 193 
327 199 243 
125 202 199 
83 229 196 
69 72 72 
170 202 83 
253 404 83 
178 196 89 
187 202 72 
214 199 83 
181 202 72 
897 208 83 
211 205 72 
455 208 72 
190 232 86 
208 202 89 
179 199 86 
214 205 83 
208 208 86 
232 202 83 
211 202 83 
196 202 83 
184 208 69 
205 202 72 
205 208 69 
214 188 86 
211 208 72 
256 188 86 
182 211 86 
190 199 92 
211 205 92 
246 202 86 
231 205 86 
291 615 72 
188 208 83 
211 205 89 
208 194 89 
217 199 86 
208 246 80 
196 208 72 
208 246 86 
184 232 89 
850 235 72 
170 205 89 
170 202 75 
181 202 72 
181 199 80 
214 199 80 
267 297 83 
187 205 80 
184 211 92 
193 202 83 
187 202 95 
422 217 86 
223 205 75 
193 208 80 
182 684 81 
181 237 92 
475 199 86 
181 205 95 
184 202 89 
208 202 89 
184 199 86 
235 202 72 
214 202 83 
235 306 89 
214 196 86 
256 231 89 
170 185 86 
167 229 83 
181 199 95 
184 202 80 
211 211 80 
205 234 89 
199 199 75 
255 217 89 
365 199 86 
214 205 92 
211 223 72 
574 194 83 
170 205 83 
208 196 89 
199 220 83 
202 211 196 
95 238 202 
83 178 240 
80 202 86 
805 214 78 
446 232 86 
184 208 69 
190 202 83 
167 205 86 
190 223 98 
666 205 86 
333 255 80 
217 208 75 
176 446 89 
208 244 75 
211 205 86 
190 205 92 
303 202 75 
220 208 89 
181 199 83 
419 698 89 
226 211 86 
173 199 83 
199 208 92 
274 205 92 
173 208 86 
181 194 92 
211 202 92 
208 211 86 
211 202 83 
199 199 83 
214 208 92 
422 205 69 
294 249 83 
208 238 92 
211 243 80 
187 205 95 
220 205 89 
214 288 83 
253 267 83 
181 205 92 
211 202 83 
214 279 86 
365 199 83 
273 279 83 
214 228 95 
184 202 89 
514 315 89 
184 208 80 
318 282 83 
184 205 83 
179 208 294 
277 188 89 
187 191 95 
170 288 107 
231 208 80 
214 222 89 
187 208 86 
217 208 86 
211 208 86 
211 199 86 
247 238 83 
678 205 86 
211 199 95 
214 205 78 
312 675 72 
766 238 80 
181 211 83 
211 202 86 
184 199 86 
181 208 92 
190 208 86 
167 211 95 
214 208 75 
187 199 83 
220 202 75 
217 202 75 
167 202 92 
170 199 80 
190 191 89 
181 211 86 
77 229 190 
214 196 193 
83 217 158 
101 226 193 
181 199 291 
184 202 226 
170 199 220 
499 482 223 
167 199 196 
253 202 190 
