# ./FR-trace starting at Fri Nov  2 18:46:55 2018
################# CONFIG #################
# slot=3500
# samples=10000
# threshold=100
# idle=500
# pdathreads=0
# nmonitored=3
#   monitor0=./num ybn_sqr 0x2b7d
#   monitor1=./num ybn_mul 0x22ea
#   monitor2=./num ybn_modexp 0x2d9f
# nevicted=0
# npdatargets=0
############## SYSTEM INFO ###############
# mastik_version=0.02
# sysname=Linux
# nodename=ArchLinux
# release=4.18.16-arch1-1-ARCH
# version=#1 SMP PREEMPT Sat Oct 20 22:06:45 UTC 2018
# machine=x86_64
################## DATA ##################
42 181 190 
202 170 187 
229 173 179 
728 175 190 
223 178 190 
234 170 176 
226 178 193 
226 178 190 
321 181 187 
226 178 190 
226 178 190 
229 170 187 
226 181 190 
237 167 193 
229 178 187 
226 178 190 
226 178 190 
229 1195 621 
556 184 187 
240 167 193 
229 178 187 
226 178 190 
223 170 179 
226 178 193 
226 178 190 
237 178 190 
229 178 187 
226 178 190 
223 170 179 
226 178 193 
277 586 808 
567 170 176 
226 181 193 
226 178 190 
582 178 190 
226 178 187 
237 178 190 
229 178 187 
226 178 190 
226 178 190 
226 170 187 
226 181 190 
237 167 193 
229 178 187 
274 764 532 
191 425 354 
226 178 190 
226 178 190 
223 170 179 
226 178 193 
226 178 190 
237 167 193 
229 178 187 
226 178 190 
229 170 187 
226 181 734 
339 184 193 
226 170 179 
226 178 193 
226 178 190 
841 178 187 
226 181 190 
226 175 190 
481 178 190 
226 178 187 
234 178 190 
229 178 187 
247 255 205 
196 178 187 
202 178 190 
232 178 193 
188 170 193 
199 181 190 
722 181 193 
191 217 193 
229 173 205 
235 184 190 
240 181 392 
226 178 187 
226 178 190 
226 170 187 
226 178 190 
223 178 190 
229 170 176 
226 178 187 
234 178 190 
237 170 176 
226 178 190 
226 178 190 
737 178 187 
226 178 1236 
267 181 190 
487 181 187 
226 178 187 
237 167 179 
229 178 187 
223 178 190 
234 178 190 
324 258 419 
196 170 176 
237 175 190 
229 178 187 
226 178 190 
223 170 176 
226 178 190 
226 181 187 
234 170 176 
226 178 190 
226 178 190 
229 170 187 
226 178 190 
223 178 190 
229 170 176 
223 178 187 
237 167 179 
226 170 176 
223 178 190 
237 175 187 
639 178 187 
226 178 187 
237 167 179 
288 178 190 
226 178 187 
226 181 187 
223 178 187 
226 178 190 
223 170 176 
339 383 347 
235 371 187 
240 167 179 
229 178 187 
223 178 190 
226 170 176 
226 178 187 
226 178 187 
226 167 176 
226 181 187 
223 175 190 
237 170 176 
226 178 190 
226 181 187 
223 167 187 
226 181 190 
223 178 190 
894 178 190 
226 181 190 
234 170 176 
529 178 187 
217 324 377 
223 175 187 
223 178 187 
226 178 190 
223 170 176 
226 178 190 
226 181 187 
234 170 176 
496 250 345 
663 208 187 
234 170 176 
226 178 190 
226 178 190 
229 170 187 
226 178 190 
223 178 190 
229 170 176 
642 362 363 
707 178 187 
229 170 176 
226 178 187 
237 167 179 
226 178 187 
223 178 190 
234 178 190 
805 178 190 
226 178 190 
234 170 176 
446 178 187 
223 175 190 
237 178 190 
229 178 187 
226 178 190 
223 170 176 
226 178 190 
226 181 187 
234 170 176 
