# ./FR-trace starting at Fri Nov  2 18:50:26 2018
################# CONFIG #################
# slot=3000
# samples=10000
# threshold=100
# idle=500
# pdathreads=0
# nmonitored=3
#   monitor0=./num ybn_sqr 0x2b7d
#   monitor1=./num ybn_mul 0x22ea
#   monitor2=./num ybn_modexp 0x2d9f
# nevicted=0
# npdatargets=0
############## SYSTEM INFO ###############
# mastik_version=0.02
# sysname=Linux
# nodename=ArchLinux
# release=4.18.16-arch1-1-ARCH
# version=#1 SMP PREEMPT Sat Oct 20 22:06:45 UTC 2018
# machine=x86_64
################## DATA ##################
42 870 648 
535 891 143 
0 0 0 
226 178 193 
237 181 211 
226 170 176 
199 178 187 
226 178 187 
226 178 187 
229 178 190 
237 167 190 
237 178 190 
226 167 179 
229 170 187 
226 178 187 
226 178 187 
226 181 190 
234 170 190 
223 170 176 
226 178 190 
226 181 190 
229 178 211 
223 178 190 
237 167 190 
237 178 190 
226 167 179 
713 428 371 
1013 960 187 
226 181 187 
223 178 190 
237 178 193 
226 167 190 
226 170 179 
223 181 190 
229 178 187 
229 178 190 
237 167 190 
237 178 190 
226 167 179 
223 178 187 
226 178 190 
226 178 187 
226 178 187 
237 178 187 
347 170 190 
223 170 187 
226 187 187 
226 181 187 
226 178 193 
229 178 190 
199 173 182 
199 181 211 
223 178 187 
199 178 187 
217 178 193 
589 170 187 
205 170 187 
226 170 176 
223 181 187 
202 181 190 
226 178 187 
476 508 345 
220 312 285 
223 167 179 
223 178 187 
226 178 190 
226 178 190 
226 178 187 
226 181 190 
234 167 779 
1046 170 986 
585 181 470 
259 170 835 
185 725 585 
1308 336 190 
748 170 190 
223 167 179 
223 178 187 
226 178 190 
226 178 187 
226 178 187 
880 178 190 
237 178 187 
226 167 190 
226 170 179 
226 181 190 
226 178 187 
229 178 190 
237 167 190 
237 178 190 
226 167 179 
223 178 187 
226 178 190 
226 178 187 
226 178 187 
237 178 187 
226 178 187 
226 181 187 
597 170 190 
223 178 187 
226 178 190 
237 167 190 
237 178 190 
226 167 179 
226 178 190 
226 178 187 
226 178 187 
226 178 190 
237 167 190 
223 170 176 
226 178 190 
226 181 190 
229 178 187 
229 178 190 
255 380 366 
582 437 179 
229 164 190 
226 178 187 
223 178 190 
226 178 187 
226 178 187 
237 178 187 
594 252 532 
288 312 234 
226 178 187 
713 181 190 
223 181 187 
237 167 190 
237 178 190 
226 167 179 
223 178 187 
226 178 190 
226 178 187 
226 178 187 
237 178 187 
226 167 190 
226 170 179 
223 181 190 
226 178 187 
229 178 190 
237 167 190 
237 178 190 
401 181 190 
226 181 190 
223 178 190 
226 178 190 
226 178 187 
237 178 187 
226 167 190 
226 170 179 
226 178 190 
229 178 187 
835 181 190 
226 178 190 
223 170 179 
223 178 187 
226 178 190 
226 178 190 
226 178 187 
226 181 190 
234 437 383 
258 178 190 
226 170 179 
226 181 190 
229 178 187 
229 178 190 
237 167 190 
237 178 190 
226 167 179 
544 170 187 
223 178 190 
226 178 190 
226 178 193 
226 178 187 
237 167 190 
226 170 179 
226 181 190 
229 178 187 
229 178 190 
237 178 193 
226 164 176 
226 164 179 
770 226 514 
401 181 187 
223 181 187 
229 178 187 
211 181 190 
229 167 190 
226 170 179 
226 181 190 
229 178 187 
229 178 190 
237 167 190 
237 178 190 
226 167 179 
223 178 187 
645 178 190 
226 178 187 
226 178 190 
237 167 190 
223 170 176 
226 178 190 
226 181 190 
229 178 187 
229 178 190 
633 253 745 
356 267 187 
223 167 176 
223 178 187 
226 178 190 
226 178 187 
226 178 187 
237 178 187 
347 170 190 
223 181 187 
226 181 190 
229 178 187 
226 178 190 
237 167 190 
237 178 190 
226 167 179 
223 178 187 
226 178 190 
767 178 190 
237 178 187 
237 167 190 
223 170 176 
226 181 187 
226 181 190 
226 178 187 
229 178 190 
237 167 190 
237 178 190 
226 167 179 
223 178 187 
226 178 190 
226 178 187 
226 178 187 
237 178 187 
226 167 190 
463 181 190 
226 178 190 
669 431 256 
289 271 562 
570 178 190 
226 164 176 
226 164 190 
226 178 190 
226 178 187 
226 181 187 
244 246 407 
481 178 193 
226 167 176 
223 178 187 
226 178 190 
229 178 187 
229 178 190 
237 178 193 
